account,date,closedPnL,size,num_trades,win_rate,long_short_ratio,Classification,frequency_group,profit_label
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-05-12,3174.023699,204.54506896551723,290,0.36551724137931035,0.7245283018867924,Greed,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-06-12,514.886454,182.41962962962964,108,0.2962962962962963,1.0301507537688441,Greed,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-07-12,1040.616939,7079.482244444444,180,0.35,0.5641025641025641,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-08-12,227.072158,4883.850724637681,69,0.36231884057971014,0.24188790560471976,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-09-12,311.290605,1435.6236363636363,55,0.34545454545454546,5.352941176470588,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-12,1474.670598,839.0279735164836,182,0.36813186813186816,0.4967197750702905,Neutral,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-11-12,1157.689489,243.03382830769232,325,0.3353846153846154,0.16270218839200762,Extreme Greed,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-12,574.398074,1899.3781441509436,159,0.2893081761006289,0.27843915343915343,Extreme Greed,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-01,17.784696,123.2695375,16,0.1875,2.3448275862068964,Greed,Infrequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-02,526.448209,470.0766581818181,33,0.696969696969697,1.243816254416961,Greed,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-03,109.593094,257.22104,27,0.4444444444444444,1.5,Greed,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-04,-680.287463,644.4147842105264,19,0.3157894736842105,0.9108910891089109,Greed,Infrequent,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-05,37.385304,947.1585714285713,7,0.14285714285714285,1.2587155963302752,Greed,Infrequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-01,677.276764,147.7093318888889,90,0.4777777777777778,0.4196078431372549,Greed,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-02,-782.6517170000001,192.48390333333333,108,0.25,1.7104722792607803,Greed,Frequent,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-03,349.12092600000005,86.46293523809524,21,0.38095238095238093,1.057915057915058,Fear,Infrequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-04,93.006465,1357.98,4,0.75,0.13487881981032665,Greed,Infrequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-01,846.655814,170.75676470588235,102,0.23529411764705882,0.4970588235294118,Extreme Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-02,2440.916534,178.0363058241758,182,0.4010989010989011,0.8457364341085272,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-03,376.017126,33.314747878787884,33,0.36363636363636365,2.582125603864734,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-04,7.052034,72.85693571428571,14,0.14285714285714285,1.205548549810845,Extreme Fear,Infrequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-01,73.451675,133.69466385964913,57,0.2631578947368421,0.25675675675675674,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-02,874.3810560000001,271.5748352941177,34,0.47058823529411764,0.8343065693430657,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-03,444.266681,137.927883125,32,0.21875,2.668702290076336,Fear,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-04,0.0,26.555,2,0.0,0.6447028423772609,Fear,Infrequent,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-05-01,8.594753,118.60413947368421,38,0.10526315789473684,0.37142857142857144,Neutral,Frequent,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-05-02,32.72269,73.33592666666667,3,0.3333333333333333,1.1313628899835797,Greed,Infrequent,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-04,444.205198,0.432335,16,0.625,0.13487881981032665,Greed,Infrequent,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-03,0.0,64.43,19,0.0,2.582125603864734,Fear,Infrequent,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-04,0.0,143.82683333333335,60,0.0,1.205548549810845,Extreme Fear,Frequent,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-03,0.0,218.0430322580645,155,0.0,2.668702290076336,Fear,Frequent,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-04,0.0,1395.5901960784313,51,0.0,0.6447028423772609,Fear,Frequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-04,0.840939,1.3230137931034485,29,0.06896551724137931,0.6956521739130435,Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-05,0.0,2.1303571428571426,14,0.0,14.0,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-07,1202.488212,2.1456,13,0.6923076923076923,0.1016949152542373,Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-08,0.0,3.5240846153846155,13,0.0,4.2727272727272725,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-10,0.0,0.56409,4,0.0,4.0,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-11,1040.5747959999999,0.3661411111111111,9,0.2222222222222222,1.1818181818181819,Extreme Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-12,337.835516,0.23015037037037037,27,0.5925925925925926,0.5274725274725275,Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-04,883.760812,1.7731054054054054,37,0.32432432432432434,0.3125,Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-08,0.0,2.7352591888888886,36,0.0,1.9090909090909092,Greed,Frequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-09,0.0,6.18285,2,0.0,2.0,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-10,0.0,0.4102475,4,0.0,4.0,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-11,0.0,0.29036,2,0.0,2.0,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-02-12,754.7378,0.18413470588235295,17,0.35294117647058826,1.3565217391304347,Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-05,5319.861625,3.933582608695652,23,0.6956521739130435,0.08823529411764706,Extreme Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-07,1118.387284,3.12222,10,0.4,18.0,Extreme Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-08,0.0,2.9494769230769227,13,0.0,18.0,Extreme Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-10,0.0,0.4975975,4,0.0,1.5,Extreme Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-11,0.0,0.404545,4,0.0,6.0,Extreme Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-12,1467.1002210000001,0.3291688888888889,9,0.4444444444444444,0.8292682926829268,Extreme Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-04,0.0,0.8838843749999999,32,0.0,0.0,Greed,Frequent,0
